field_name,EQUIVALENT,PARTIAL,DIVERGENT,total,pct_eq,flag
key_limitation,28,415,124,567,4.938271604938271,LOW_EQ
secondary_outcomes,33,350,175,558,5.913978494623656,
primary_outcome_value,56,256,198,510,10.980392156862745,
task_performed,33,428,43,504,6.547619047619048,
primary_outcome_metric,37,235,196,468,7.905982905982905,
robot_platform,55,348,56,459,11.982570806100219,
system_maturity,85,142,193,420,20.238095238095237,
surgical_domain,89,92,221,402,22.139303482587064,
study_design,72,110,175,357,20.168067226890756,
sample_size,73,73,211,357,20.448179271708682,
autonomy_level,64,100,151,315,20.317460317460316,
comparison_to_human,59,138,118,315,18.73015873015873,
task_generate,55,73,181,309,17.79935275080906,
validation_setting,68,166,75,309,22.006472491909385,
task_monitor,59,43,147,249,23.694779116465863,
task_select,40,38,117,195,20.51282051282051,
country,85,74,33,192,44.27083333333333,HIGH_EQ
clinical_readiness_assessment,30,66,51,147,20.408163265306122,
task_execute,41,20,86,147,27.89115646258503,
study_type,6,2,10,18,33.33333333333333,HIGH_EQ
